"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","38.1151","-85.6445","192.6","1997-02-04",,,"0.97",",,Z,2400","0.0",",,Z,","0.0",",,Z,2400","58",",,Z","38",",,Z",,,,,,,,,,,,,,,,
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","38.1151","-85.6445","192.6","1997-02-05",,,"0.00","T,,Z,2400","0.0","T,,Z,","0.0",",,Z,2400","38",",,Z","31",",,Z",,,,,,,,,,,,,,,,
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","38.1151","-85.6445","192.6","1997-02-06",,,"0.00",",,Z,2400","0.0",",,Z,","0.0",",,Z,2400","37",",,Z","31",",,Z",,,,,,,,,,,,,,,,
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","38.1151","-85.6445","192.6","1997-02-07",,,"0.15",",,Z,2400","0.6",",,Z,","0.0","T,,Z,2400","44",",,Z","31",",,Z",,,,,,,,,,,,,,,,
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","38.1151","-85.6445","192.6","1997-02-08",,,"0.11",",,Z,2400","1.3",",,Z,","2.0",",,Z,2400","32",",,Z","29",",,Z",,,,,,,,,,,,,,,,
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","38.1151","-85.6445","192.6","1997-02-09",,,"0.00","T,,Z,2400","0.0","T,,Z,","0.0","T,,Z,2400","30",",,Z","28",",,Z",,,,,,,,,,,,,,,,
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","38.1151","-85.6445","192.6","1997-02-10",,,"0.00","T,,Z,2400","0.0","T,,Z,","0.0","T,,Z,2400","34",",,Z","29",",,Z",,,,,,,,,,,,,,,,
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","38.1151","-85.6445","192.6","1997-02-11",,,"0.00","T,,Z,2400","0.0","T,,Z,","0.0","T,,Z,2400","38",",,Z","29",",,Z",,,,,,,,,,,,,,,,
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","38.1151","-85.6445","192.6","1997-02-12",,,"0.00","T,,Z,2400","0.0","T,,Z,","0.0",",,Z,2400","36",",,Z","26",",,Z",,,,,,,,,,,,,,,,
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","38.1151","-85.6445","192.6","1997-02-13",,,"0.45",",,Z,2400","0.4",",,Z,","0.0",",,Z,2400","32",",,Z","25",",,Z",,,,,,,,,,,,,,,,
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","38.1151","-85.6445","192.6","1997-02-14",,,"0.00","T,,Z,2400","0.0",",,Z,","0.0",",,Z,2400","33",",,Z","29",",,Z",,,,,,,,,,,,,,,,
